,state,country,Lat,Long,date,confirmed,deaths,recovered,active,population,density,fertility,age,urban_percentage,icu,index,humidity,sunHour,tempC,windspeedKmph
0,,Thailand,15.0,101.0,2020-01-22,2.0,0.0,0.0,2.0,69799978,137,1.5,40.0,0.51,2.1,12118,55.0,8.7,36.0,11.0
1,,Thailand,15.0,101.0,2020-01-23,3.0,0.0,0.0,3.0,69799978,137,1.5,40.0,0.51,2.1,12119,59.0,11.6,35.0,14.0
2,,Thailand,15.0,101.0,2020-01-24,5.0,0.0,0.0,5.0,69799978,137,1.5,40.0,0.51,2.1,12120,60.0,11.6,35.0,16.0
3,,Thailand,15.0,101.0,2020-01-25,7.0,0.0,0.0,7.0,69799978,137,1.5,40.0,0.51,2.1,12121,63.0,11.6,32.0,22.0
4,,Thailand,15.0,101.0,2020-01-26,8.0,0.0,2.0,6.0,69799978,137,1.5,40.0,0.51,2.1,12122,54.0,11.6,34.0,15.0
5,,Thailand,15.0,101.0,2020-01-27,8.0,0.0,2.0,6.0,69799978,137,1.5,40.0,0.51,2.1,12123,50.0,11.6,35.0,16.0
6,,Thailand,15.0,101.0,2020-01-28,14.0,0.0,5.0,9.0,69799978,137,1.5,40.0,0.51,2.1,12124,51.0,11.6,33.0,15.0
7,,Thailand,15.0,101.0,2020-01-29,14.0,0.0,5.0,9.0,69799978,137,1.5,40.0,0.51,2.1,12125,55.0,10.2,35.0,10.0
8,,Thailand,15.0,101.0,2020-01-30,14.0,0.0,5.0,9.0,69799978,137,1.5,40.0,0.51,2.1,12126,50.0,11.6,35.0,10.0
9,,Thailand,15.0,101.0,2020-01-31,19.0,0.0,5.0,14.0,69799978,137,1.5,40.0,0.51,2.1,12127,47.0,11.6,34.0,10.0
10,,Thailand,15.0,101.0,2020-02-01,19.0,0.0,5.0,14.0,69799978,137,1.5,40.0,0.51,2.1,12128,50.0,11.6,35.0,11.0
11,,Thailand,15.0,101.0,2020-02-02,19.0,0.0,5.0,14.0,69799978,137,1.5,40.0,0.51,2.1,12129,51.0,10.2,36.0,9.0
12,,Thailand,15.0,101.0,2020-02-03,19.0,0.0,5.0,14.0,69799978,137,1.5,40.0,0.51,2.1,12130,57.0,11.6,34.0,14.0
